"PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","SciName","trend","direction"
-0.894464293153801,-0.0895932655424101,0.0519766514904761,-0.370027898526213,-0.231846867321471,1.20654812947539,-0.104338166794108,7.98267804229054e-16,-1.45482372087269e-18,8.48387019627962e-17,4.81836347918812e-16,-5.04032169209092e-16,"Anoplarchus purpurescens",0.3373138,"positive"
-1.26518994096382,-0.172823456163089,-1.27214434815686,0.0842744213262939,0.0936422398257582,-0.189947508660455,-0.0238915984559047,7.59059528640915e-17,1.39464842525912e-17,1.41494533442401e-16,8.52455275615773e-17,-8.29364376254872e-18,"Artedius fenestralis",-16.2168017,"negative"
-1.19262170668863,-0.0466370782718755,-1.0495261529538,0.920058085230412,0.186245117566262,-0.12510786943458,0.1363071190487,3.53461709020381e-16,1.39464842525912e-17,1.41494533442401e-16,8.52455275615773e-17,-8.29364376254872e-18,"Artedius harringtoni",-2.7510311,"negative"
5.51204961305116,-6.99625271274509,0.227316184822898,0.579085353637267,-0.908179491916679,-0.10091922244005,-0.160657663105125,-3.19172120569008e-16,-4.73299609186564e-16,3.49163941563299e-16,-4.65681925534508e-17,-5.56235691301403e-16,"Engraulis mordax",1.8400496,"positive"
-1.17429060028651,-0.105097438059815,1.64410658275033,-0.690282413843562,0.0732447215017802,-0.260094494140101,-0.0897716566629351,-5.1533452236951e-16,3.86504434337335e-17,1.62109427056829e-16,-4.36045827206138e-17,1.79813747873102e-16,"Glyptocephalus zachirus",-1.07877,"negative"
-1.26518994096382,-0.172823456163089,-1.27214434815686,0.0842744213262939,0.0936422398257582,-0.189947508660455,-0.0238915984559047,7.59059528640915e-17,1.39464842525912e-17,1.41494533442401e-16,8.52455275615773e-17,-8.29364376254872e-18,"Hemilepidotus hemilepidotus",-4.0469841,"negative"
-1.31356876381395,-0.256947708090565,-1.42055647829223,-0.472914687943118,0.0319069879987553,-0.233173934811038,-0.130690743458975,-1.4613865206094e-16,1.39464842525912e-17,1.41494533442401e-16,8.52455275615773e-17,-8.29364376254872e-18,"Hemilepidotus spinosus",0.3062536,"positive"
-1.31356876381395,-0.256947708090565,-1.42055647829223,-0.472914687943118,0.0319069879987553,-0.233173934811038,-0.130690743458975,-1.4613865206094e-16,1.39464842525912e-17,1.41494533442401e-16,8.52455275615773e-17,-8.29364376254872e-18,"Hexagrammos decagrammus",-0.8854018,"negative"
-1.19848001171158,-0.147159564023553,1.56990051768265,-0.968876968478267,0.0423770955882788,-0.281707707215392,-0.14317122916447,-6.26356824832025e-16,3.86504434337335e-17,1.62109427056829e-16,-4.36045827206138e-17,1.79813747873102e-16,"Isopsetta isolepis",-7.3496377,"negative"
-1.31356876381395,-0.256947708090565,-1.42055647829223,-0.472914687943118,0.0319069879987553,-0.233173934811038,-0.130690743458975,-1.4613865206094e-16,1.39464842525912e-17,1.41494533442401e-16,8.52455275615773e-17,-8.29364376254872e-18,"Leptocottus armatus",6.3404498,"positive"
-1.31356876381395,-0.256947708090565,-1.42055647829223,-0.472914687943118,0.0319069879987553,-0.233173934811038,-0.130690743458975,-1.4613865206094e-16,1.39464842525912e-17,1.41494533442401e-16,8.52455275615773e-17,-8.29364376254872e-18,"Liparis fucensis",1.6274477,"positive"
2.9966424012291,1.9939911626712,-0.360106363605888,-1.25263754145645,-1.87698505391117,-0.13893882898826,1.48406898333267,4.16628639514157e-16,-1.40232701799017e-16,-2.46867425467506e-15,-1.22860099939432e-15,1.13354679211301e-15,"Lipolagus ochotensis",-3.2091135,"negative"
-0.956585897460942,0.273461695613826,2.31196116835951,1.81706857786879,0.351053354723293,-0.0655755764624758,0.39082449585088,4.00599472946245e-16,3.86504434337335e-17,1.62109427056829e-16,-4.36045827206138e-17,1.79813747873102e-16,"Lyopsetta exilis",-11.580427,"negative"
